id,submitted,updated,title,abstract,authors,link_abstract,link_pdf,link_doi,comment,journal,category,males,females
2003.06730v1,2020-03-15,2020-03-15,The Asymptotic Iteration Method Revisited,"  The Asymptotic Iteration Method (AIM) is a technique for solving analytically
and approximately the linear second-order differential equation, especially the
eigenvalue problems that frequently appear in theoretical and mathematical
physics. The analysis and mathematical justifications of the success and
failure of the asymptotic iteration method are detailed in this work. A theorem
explaining why the asymptotic iteration method works for the eigenvalue problem
is presented. As a byproduct, a new procedure to generate unlimited classes of
exactly solvable differential equations is also introduced.
",Mourad E. H. Ismail|Nasser Saad,http://arxiv.org/abs/2003.06730v1,http://arxiv.org/pdf/2003.06730v1,http://dx.doi.org/10.1063/1.5117143,11 pages,"Journal of Mathematical Physics 61, 033501 (2020)",maths,2,0
2003.06747v1,2020-03-15,2020-03-15,"Collision system size scan of collective flows in relativistic heavy-ion
  collisions","  Initial geometrical distribution and fluctuation can affect the collective
expansion in relativistic heavy-ion collisions. This effect may be more evident
in small system (such as B + B) than in large one (Pb + Pb). This work presents
the collision system dependence of collective flows and discusses about effects
on collective flows from initial fluctuations in a framework of a multiphase
transport model. The results shed light on system scan on experimental efforts
to small system physics.
",S. Zhang|Y. G. Ma|G. L. Ma|J. H. Chen|Q. Y. Shou|W. B. He|C. Zhong,http://arxiv.org/abs/2003.06747v1,http://arxiv.org/pdf/2003.06747v1,http://dx.doi.org/10.1016/j.physletb.2020.135366,"7 pages, 4 figures",Physics Letters B804 (2020) 135366,physics,0,0
2003.06835v1,2020-03-15,2020-03-15,New quantum phases of matter: Topological Materials,"  In this article, we provide an overview of the basic concepts of novel
topological materials. This new class of materials developed by combining the
Weyl/Dirac fermionic electron states and magnetism, provide a materials-science
platform to test predictions of the laws of topological physics. Owing to their
dissipationless transport, these materials hold high promises for technological
applications in quantum computing and spintronics devices.
",Vishal Bhardwaj|Ratnamala Chatterjee,http://arxiv.org/abs/2003.06835v1,http://arxiv.org/pdf/2003.06835v1,http://dx.doi.org/10.1007/s12045-020-0955-5,"9 pages, 4 Figures",RESONANCE-JOURNAL OF SCIENCE EDUCATION 2020,maths,1,0
2003.06842v1,2020-03-15,2020-03-15,An imaging line survey of OMC-1 to OMC-3,"  Aims: Our aim is to identify the dominant molecular cooling lines and
characteristic emission features in the 1.3 mm window of distinct regions in
the northern part of the Orion A molecular cloud. By defining and analysing
template regions, we also intend to help with the interpretation of
observations from more distant sources which cannot be easily spatially
resolved.
  Methods: We analyse an imaging line survey covering the area of OMC-1 to
OMC-3 from 200.2 to 281.8 GHz obtained with the PI230 receiver at the APEX
telescope. Masks are used to define regions with distinct properties (e.g.
column density or temperature ranges) from which we obtain averaged spectra.
Lines of 29 molecular species (55 isotopologues) are fitted for each region to
obtain the respective total intensity.
  Results: We find that strong sources like Orion KL have a clear impact on the
emission on larger scales. Although not spatially extended, their line emission
contributes substantially to spectra averaged over large regions. Conversely,
the emission signatures of dense, cold regions like OMC-2 and OMC-3 (e.g.
enhanced N$_{2}$H$^{+}$ emission and low HCN/HNC ratio) seem to be difficult to
pick up on larger scales, where they are eclipsed by signatures of stronger
sources. In all regions, HCO$^{+}$ appears to contribute between 3% and 6% to
the total intensity, the most stable value for all bright species.
N$_{2}$H$^{+}$ shows the strongest correlation with column density, but not
with typical high-density tracers like HCN, HCO$^{+}$, H$_{2}$CO, or HNC.
Common line ratios associated with UV illumination, CN/HNC and CN/HCO$^{+}$,
show ambiguous results on larger scales, suggesting that the identification of
UV illuminated material may be more challenging. The HCN/HNC ratio may be
related to temperature over varying scales.
",N. Brinkmann|F. Wyrowski|J. Kauffmann|D. Colombo|K. M. Menten|X. D. Tang|R. Güsten,http://arxiv.org/abs/2003.06842v1,http://arxiv.org/pdf/2003.06842v1,http://dx.doi.org/10.1051/0004-6361/201936885,"38 pages, 15 figures, 8 tables. Accepted by A&A","A&A 636, A39 (2020)",physics,0,0
2003.06895v2,2020-03-15,2020-03-15,Measuring the tangle of three-qubit states,"  We present a quantum circuit that transforms an unknown three-qubit state
into its canonical form, up to relative phases, given many copies of the
original state. The circuit is made of three single-qubit parametrized quantum
gates, and the optimal values for the parameters are learned in a variational
fashion. Once this transformation is achieved, direct measurement of outcome
probabilities in the computational basis provides an estimate of the tangle,
which quantifies genuine tripartite entanglement. We perform simulations on a
set of random states under different noise conditions to asses the validity of
the method.
",Adrián Pérez-Salinas|Diego García-Martín|Carlos Bravo-Prieto|José I. Latorre,http://arxiv.org/abs/2003.06895v2,http://arxiv.org/pdf/2003.06895v2,http://dx.doi.org/10.3390/e22040436,"7 pages, 6 figures; Published: 11 April 2020","Entropy 2020, 22, 436",physics,2,0
2003.06940v1,2020-03-15,2020-03-15,"Transient quantum beats, Rabi-oscillations and delay-time of modulated
  matter-waves","  Transient phenomena of phase modulated cut-off wavepackets are explored by
deriving an exact general solution to Schr\""odinger's equation for finite range
potentials involving arbitrary initial quantum states. We show that the
dynamical features of the probability density are governed by a virtual
\textit{self-induced two-level system} with energies $E_{+}$, and $E_{-}$, due
to the phase modulation of the initial state. The asymptotic probability
density exhibits Rabi-oscillations characterized by a frequency
$\Omega=(E_{+}-E_{-})/\hbar$, which are independent of the potential profile.
It is also found that for a system with a bound state, the interplay between
the virtual levels with the latter causes a \textit{quantum beat} effect with a
beating frequency, $\Omega$. We also find a regime characterized by a
\textit{time-diffraction} phenomenon that allows to measure unambiguously the
delay-time, which can be described by an exact analytical formula. It is found
that the delay-time agrees with the phase-time only for the case of strictly
monochromatic waves.
",Jorge Villavicencio|Alberto Hernández-Maldonado,http://arxiv.org/abs/2003.06940v1,http://arxiv.org/pdf/2003.06940v1,http://dx.doi.org/10.1103/PhysRevA.101.042109,"10 pages, 8 figures","Phys. Rev. A 101, 042109 (2020)",physics,2,0
2003.06969v1,2020-03-16,2020-03-16,"Excited states of odd-mass nuclei with different deformation-dependent
  mass coefficients","  Experimental data indicate that the mass tensor of collective Bohr
Hamiltonian cannot be considered as a constant but should be considered as a
function of the collective coordinates. In this work our purpose is to
investigate the properties of low-lying collective states of the odd nuclei
$^{173}$Yb and $^{163}$Dy by using a new generalized version of the collective
quadrupole Bohr Hamiltonian with deformation-dependent mass coefficients. The
proposed new version of the Bohr Hamiltonian is solved for Davidson potential
in $\beta$ shape variable, while the $\gamma$ potential is taken to be equal to
the harmonic oscillator. The obtained results of the excitation energies and
B(E2) reduced transition probabilities show an overall agreement with the
experimental data. Moreover, we investigate the effect of the deformation
dependent mass parameter on energy spectra and transition rates in both cases,
namely: when the mass coefficients are different and when they are equal.
Besides, we will show the positive effect of the present formalism on the
moment of inertia.
",M. Chabab|A. El Batoul|I. El-ilali|A. Lahbas|M. Oulne,http://arxiv.org/abs/2003.06969v1,http://arxiv.org/pdf/2003.06969v1,http://dx.doi.org/10.1140/epjp/s13360-020-00126-z,"16 pages, 1 figure","European Physical Journal Plus 135, 201 (2020)",physics,0,0
2003.07034v1,2020-03-16,2020-03-16,"Theoretical study on stabilization and destabilization of magnetic
  skyrmions by uniaxial-strain-induced anisotropic Dzyaloshinskii--Moriya
  interactions","  Magnetic skyrmions in chiral-lattice ferromagnets are currently attracting
enormous research interest because of their potential applications in
spintronic devices. However, they emerge in bulk specimens only in a narrow
window of temperature and magnetic field. This limited stability regime is
recognized as an obstacle to technical applications. Recent experiments
demonstrated that the thermodynamic stability of magnetic skyrmions is enhanced
or suppressed by the application of a uniaxial strain depending on its axial
direction in bulk chiral-lattice ferromagnets MnSi [Y. Nii et al., Nat. Commun.
6, 8539 (2015), A. Chacon et al., Phys. Rev. Lett. 115, 267202 (2015)] and
Cu2OSeO3 [S. Seki et al., Phys. Rev. B 96, 220404(R) (2017)]. Motivated by
these experimental discoveries, we theoretically investigated the effects of
anisotropic Dzyaloshinskii--Moriya interactions on the stability of magnetic
skyrmions caused by this uniaxial strain. We find that magnetic skyrmions are
significantly stabilized (destabilized) in the presence of anisotropic DM
interactions when an external magnetic field lies perpendicular (parallel) to
the anisotropy axis, along which the DM coupling is strengthened. Our results
account completely for the experimentally observed strain-induced stabilization
and destabilization of magnetic skyrmions and provide a firm ground for
possible strain engineering of skyrmion-based electronic devices.
",Kohei Tanaka|Ryosuke Sugawara|Masahito Mochizuki,http://arxiv.org/abs/2003.07034v1,http://arxiv.org/pdf/2003.07034v1,http://dx.doi.org/10.1103/PhysRevMaterials.4.034404,"9 pages, 5 figures","Physical Review Materials 4, 034404 (2020)",maths,2,0
2003.07057v1,2020-03-16,2020-03-16,Efficient Generation of Low Autocorrelation Binary Sequences,"  Simple and efficient algorithm based on heuristic search by shotgun hill
climbing to construct binary sequences with small peak sidelobe levels (PSL) is
suggested. The algorithm is applied for generation of binary sequences of
lengths between 106 and 300. Improvements are obtained in almost half of the
considered lengths while for the rest of the lengths, binary sequences with the
same PSL values as reported in the state-of-the-art publications are found.
",Miroslav Dimitrov|Tsonka Baitcheva|Nikolay Nikolov,http://arxiv.org/abs/2003.07057v1,http://arxiv.org/pdf/2003.07057v1,http://dx.doi.org/10.1109/LSP.2020.2972127,"This paper has been already published in IEEE Signal Processing
  Letters","in IEEE Signal Processing Letters, vol. 27, pp. 341-345, 2020",electronics,2,0
2003.07090v1,2020-03-16,2020-03-16,180$^\circ$ Rotations in the Polarization Angle for Blazars,"  Rotations of the electric vector position angle (EVPA) in blazars are often
close to an integral multiple of 180$^\circ$. There are multiple examples of
this in the literature, and our analysis here, of the optical polarization data
from the RoboPol monitoring program, strengthens the evidence by showing that
$n\pi$ rotations occur more frequently than expected by chance. We explain this
with a model consisting of two polarized emission components: a ""jet"" that is
constant in time, and a ""burst"" that is variable. The EVPA of the combination
is $\rm EVPA_{jet}$ at both the beginning and the end of the burst, so the net
rotation across the burst must be $n\pi$. Examples are analyzed on the Stokes
plane, where the winding number for the Stokes vector of the combination gives
the value of $n$. The main conclusion is that the EVPA rotation can be much
larger than the physical rotation of the emission region around the axis of the
jet, but this requires the EVPAs of the jet and the burst to be nearly
orthogonal. A shock-in-jet calculation by Zhang et al. can provide a physical
model for our toy model, and in addition automatically gives the needed
orthogonality. The model is illustrated with data on OJ287 published by
Myserlis et al., and we suggest that the large rapid EVPA rotation seen there
might be a phase effect and not representative of a physical rotation.
",Marshall H. Cohen|Tuomas Savolainen,http://arxiv.org/abs/2003.07090v1,http://arxiv.org/pdf/2003.07090v1,http://dx.doi.org/10.1051/0004-6361/201936907,Accepted for publication in Astronomy & Astrophysics,"A&A 636, A79 (2020)",physics,1,0
